movie_id,genre
13001,Adventure
13001,Science Fiction
134374,Thriller
134374,Crime
134374,Action
2290,Comedy
2290,Drama
2290,History
1702,Action
1702,Horror
1702,Science Fiction
1702,Thriller
27361,Fantasy
27361,Science Fiction
333663,Comedy
85414,Action
85414,Thriller
2895,Drama
9455,Action
9455,Crime
9455,Mystery
9455,Thriller
215962,Comedy
10344,Horror
10344,Science Fiction
10344,Thriller
9404,Action
9404,Adventure
9404,Comedy
9404,Crime
9404,Drama
9404,Thriller
8284,Crime
8284,Drama
8284,Thriller
8284,Mystery
12577,Crime
12577,Action
12577,Thriller
39141,Comedy
39141,Drama
39141,Romance
260312,Drama
25602,Action
25602,Crime
25602,Drama
25602,Thriller
9652,Thriller
9652,Drama
67675,Documentary
67675,Music
67675,Family
249688,Drama
70862,Documentary
70862,History
96,Action
96,Comedy
96,Crime
107239,Western
107239,Comedy
819,Crime
819,Drama
819,Thriller
174337,Comedy
174337,Drama
3021,Horror
3021,Thriller
347031,Comedy
347031,Drama
347031,Romance
347031,Fantasy
347031,Adventure
31894,TV Movie
31894,Drama
31894,History
31894,War
9061,Action
9061,Drama
9061,Mystery
9061,Thriller
790,Horror
13763,Drama
13763,Music
13763,Romance
52001,Horror
52001,Drama
52001,Thriller
838,Comedy
838,Drama
182560,Drama
182560,Mystery
182560,Thriller
40001,Comedy
40001,Romance
40001,Drama
146301,Horror
146301,Thriller
356500,Thriller
14557,Comedy
3053,Comedy
3053,Horror
14911,Action
14911,Drama
14911,War
18632,Comedy
1630,Drama
452,Drama
452,Comedy
4564,Comedy
4564,Drama
4564,Romance
9464,Romance
9464,Comedy
9464,Crime
9464,Drama
152780,Drama
152780,Mystery
22832,Action
22832,Crime
22832,Thriller
19585,Fantasy
19585,Action
19585,Adventure
19585,Family
19585,Comedy
12548,Comedy
12548,Drama
14709,Comedy
14709,Drama
14709,Romance
11653,Action
11653,Adventure
11653,Comedy
11653,Drama
11653,Fantasy
4688,Adventure
4688,Drama
4688,Music
4688,Romance
146229,Thriller
146229,Horror
29426,Horror
29426,Science Fiction
11485,Comedy
11485,Crime
2142,Action
2142,Crime
2142,Drama
137093,Comedy
2698,Fantasy
2698,Comedy
2698,Family
259956,Drama
25610,Horror
25610,Science Fiction
5937,Drama
5937,History
5937,War
9038,Comedy
397,Comedy
397,Romance
75761,Horror
75761,Comedy
277834,Adventure
277834,Animation
277834,Family
1817,Thriller
1817,Drama
65759,Animation
65759,Comedy
65759,Family
11658,Action
11658,Adventure
11658,Drama
11658,History
11658,War
242083,Drama
242083,Comedy
180296,Comedy
15357,Action
15357,Thriller
15357,Crime
11598,Comedy
45964,Horror
45964,Thriller
48988,Comedy
9267,Comedy
4961,Fantasy
4961,Horror
4961,Thriller
401104,Drama
14456,Horror
11335,Action
11335,Adventure
11335,Comedy
11335,Family
11335,Music
13203,Comedy
13203,Drama
13203,Romance
279229,Adventure
